value,y2019,y2023,y2024,y2025,growth_23_25
Asad Siddiki,0.0,0.0,0.0,84.0,84.0
Ensar Oud,0.0,0.0,0.0,81.0,81.0
Monkoku,0.0,0.0,0.0,78.0,78.0
We Pink,0.0,20.0,47.0,97.0,77.0
Ard al Teeb,0.0,0.0,0.0,63.0,63.0
French Avenue,0.0,22.0,37.0,74.0,52.0
Zara,105.0,105.0,126.0,146.0,41.0
Street Origins,0.0,0.0,0.0,40.0,40.0
PARIS CORNER,0.0,16.0,40.0,55.0,39.0
Bujairami,0.0,0.0,0.0,39.0,39.0
BellaVita,0.0,0.0,0.0,39.0,39.0
Emper,0.0,0.0,0.0,38.0,38.0
AMD Perfumes,30.0,19.0,35.0,56.0,37.0
Sergio Nero,0.0,0.0,26.0,36.0,36.0
ARO-FAC Aroma Factory,48.0,0.0,0.0,36.0,36.0
Gulf Orchid,0.0,15.0,30.0,49.0,34.0
Ray-dashnees,0.0,0.0,0.0,33.0,33.0
Jinx Smells,0.0,11.0,45.0,44.0,33.0
Arabiyat Prestige,0.0,17.0,20.0,49.0,32.0
Latansaa Perfumes,0.0,0.0,0.0,30.0,30.0
Maison Alhambra,0.0,20.0,34.0,50.0,30.0
Mad Parfumeur,0.0,0.0,0.0,30.0,30.0
Angeline,0.0,0.0,30.0,30.0,30.0
Parfums Constantine,0.0,0.0,0.0,29.0,29.0
Fabien Marche,0.0,0.0,0.0,28.0,28.0
Brandy Designs,0.0,0.0,0.0,28.0,28.0
In The Box,20.0,0.0,22.0,27.0,27.0
Loris Parfum,0.0,0.0,0.0,27.0,27.0
Saleel,0.0,0.0,0.0,27.0,27.0
whif.,0.0,0.0,0.0,27.0,27.0
Tha Beauty,0.0,0.0,0.0,26.0,26.0
Atelier Faye,0.0,0.0,0.0,26.0,26.0
Faberlic,10.0,0.0,17.0,26.0,26.0
Bath & Body Works,42.0,84.0,81.0,109.0,25.0
Yusuf Bhai,0.0,0.0,0.0,25.0,25.0
Le Bonheur Perfumes,0.0,0.0,26.0,25.0,25.0
MPF,0.0,0.0,0.0,24.0,24.0
Maison Du Miel,0.0,0.0,18.0,24.0,24.0
KÉNAZ Perfumes,0.0,0.0,0.0,24.0,24.0
Bottega Verde,0.0,11.0,0.0,34.0,23.0
